"","ID","label","ct_eligibility"
"1",1,"BriefSummary","The purpose of this study is to understand how severe acute respiratory syndrome (SARS) spreads within families, if significant disease resulted, and how the body responds to SARS. The study will also explore the affects of SARS on genetics and the immune system (the body system that fights disease). Up to 1000 people residing in Beijing, China may be involved in this study. Adult survivors of SARS (numbering 200) and their family members including children age 4 and up will be asked to participate in the study. The study will recruit an additional 200 persons, who will be matched with SARs survivors of similar age, gender, health status, and housing/work location, and recruited as comparators. Blood will be taken from all volunteers and tested for the presence of SARS antibodies (proteins made by the body's immune system in response to something that can cause infection). Health and clinic/hospital visit records may be reviewed."
"2",2,"BriefSummary","This is a multi-center, randomized, double-blinded, placebo-controlled, outpatient study. Recombinant deltaTM S Protein Severe Acute Respiratory Syndrome (SARS) Vaccine With and Without Aluminum Hydroxide Adjuvant (Provided through contract N01-AI-30023, manufactured by Protein Sciences Corporation), two doses, administered at 28 day interval. 1. S Protein Severe Acute Respiratory Syndrome (SARS) Vaccine without adjuvant: 5.0, 15.0 and 45.0 mcg per 0.5 ml dose. 2. S Protein SARS Adjuvanted Vaccine: 5.0, 15.0 and 45.0 mcg per 0.5 ml dose. PLACEBO: diluents/placebo without vaccine (Phosphate Buffer Saline (PBS) with lower phosphate concentration). Approximately 84 healthy male and nonpregnant female subjects 18 to 40 years of age will be enrolled."
"3",3,"BriefSummary","Severe acute respiratory syndrome (SARS) is a viral illness that affects the respiratory (breathing) system. The purpose of this study is to evaluate the safety and protective (immune) responses to different doses of a SARS vaccine given with or without an adjuvant. An adjuvant is a substance that may be added to a vaccine to improve the immune response so that less of the vaccine may need to be given. Study participants will include 72 volunteers, ages 18-40, living in the Houston, Texas area. The study will take place at Baylor College of Medicine. Participants will receive 2 injections of vaccine or placebo (substance made to look like the study vaccine but contains no medication) given 1 month apart. Participants will fill out a memory aid (diary) to document daily temperature and illness signs and symptoms for 7-9 days after each injection. During the 9 study visits, several blood samples will be collected. Participants will be in the study for up to 211 days, including screening."
"4",4,"BriefSummary","Evaluate the efficacy of treatment with high-titer Anti- SARS-CoV-2 plasma versus control (SARS-CoV-2 non-immune plasma) in subjects exposed to Coronavirus disease (COVID-19) at day 28."
"5",5,"BriefSummary","Primary Objective:

To determine the excretion balance and systemic exposure of radioactivity after oral administration of [14C]-SAR442168.

To determine the pharmacokinetics of SAR442168 and its contribution to the overall exposure of radioactivity.

To collect samples in order to determine the metabolic pathways of SAR442168 and identify the chemical structures and main excretion route of the main metabolites (samples will be analyzed according to metabolic analysis plan and results will be documented in a separate report).

Secondary Objective:

To assess the clinical and biological tolerability of an oral solution of SAR442168."
"6",6,"BriefSummary","Primary Objective:

To determine the maximum tolerated dose (MTD) of SAR566658

Secondary Objectives:

To characterize the safety profile of SAR566658
To evaluate the pharmacokinetic profile of SAR566658
To assess the potential immunogenicity of SAR566658
To assess preliminary antitumor activity
To assess the effect of SAR566658 at recommended dose on CYP3A enzyme activity using midazolam
To assess safety in the alternative schedules of SAR566658 administration"
"7",7,"BriefSummary","Primary Objectives:

To determine safety and the maximum tolerated dose (MTD) of SAR405838 through the characterization of dose-limiting toxicities (DLTs).
To assess biological activities in patients with dedifferentiated liposarcoma during MTD cohort expansion.

Secondary Objectives:

Pharmacokinetic (PK) profile of SAR405838.
Biomarkers in association with SAR405838.
Anti-tumor activity in response to SAR405838.
Food effect on SAR405838 PK.
Compliance with SAR405838 treatment.
Cytochrome P450 3A4/5 (CYP3A4/5) activity."
"8",8,"BriefSummary","Primary Objective:

To assess the relative bioavailability of a single subcutaneous dose of alirocumab SAR236553 (REGN727) administered at 3 different injection sites in healthy subjects.

Secondary Objectives:

To assess the pharmacodynamic effect of a single subcutaneous dose of alirocumab SAR236553 (REGN727) on serum low-density lipoprotein cholesterol and other lipids and apolipoproteins.
To assess the safety of a single subcutaneous dose of alirocumab SAR236553 (REGN727).
To assess the immunogenicity of a single subcutaneous dose of alirocumab SAR236553 (REGN727)."
"9",9,"BriefSummary","In December 2019 a new kind of virus was identified in China as the responsible of severe acute respiratory syndrome (SARS) and interstitial pneumonia. Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) quickly spread around the world and in February 2020 became a pandemia in Europe.

No pharmacological treatment is actually licensed for the SARS-CoV2 infection and at the current state of art there is a lack of data about the clinical management of the coronavirus 2019 disease (COVID-19).

The aim of this observational study is to collect the data and the outcomes of COVID-19 patients admitted in the H. Sacco Respiratory Unit treated according to the Standard Operating Procedures and the Good Clinical Practice."
"10",10,"BriefSummary","Primary Objectives:

Dose Escalation Part A: To determine the maximum tolerated dose (MTD) of SAR442085 administered as a single agent in patients with relapsed or refractory multiple myeloma (RRMM), and determine the recommended Phase 2 dose (RP2D) for the subsequent Expansion Part B
Dose Expansion Part B: To assess the antitumor activity of single agent of SAR442085 at the RP2D in patients with RRMM

Secondary Objectives:

To characterize the safety profile of SAR442085
To characterize the pharmacokinetics (PK) profile of SAR442085 when administered as a single agent
To evaluate the potential immunogenicity of SAR442085
To assess preliminary evidence of antitumor activity in the Dose Escalation Part A"
