	0	1
1017	Inclusion criteria:  Histologically or cytologically confirmed solid tumor that is metastatic or unresectable, and for which standard curative or palliative measures do not exist or are no longer effective, and there are no known therapies to prolong survival. Before any study-specific procedure, the appropriate Institutional Review Board (IRB) approved written informed consent must be obtained. Second informed consent must be obtained before the patient starts the Treatment Extension Period (Cycle 2 and after).  Measurable disease as per Response Evaluation Criteria in Solid Tumors (RECIST) criteria.  Exclusion criteria:  < 20 years old. Eastern Cooperative Oncology Group (ECOG) performance status > 2. Incapable of understanding or complying with the protocol or has not signed the informed consent document. Unable or unwilling to abide by the study protocol or cooperate fully with the investigator or designee. Inadequate organ or bone marrow function. Prothrombin time (PT)/International Normalized Ratio (INR) and/or partial thromboplastin time (PTT) test results at screening that are above 1.3 × the laboratory upper limit of normal (ULN). Baseline corrected QT interval (QTc) > 460 ms. Sexually active (males and females) who do not agree to use medically acceptable methods of contraception during the course of the study and for 3 months following discontinuation of study drug. Female patients of childbearing potential must have a negative pregnancy test at screening. Pregnant or breastfeeding. Has not tolerated previous treatment with other phosphatidylinositol 3-kinase (PI3K) inhibitor, or has been treated with SAR245408. Not recovered from all previous therapies (i.e. radiation, surgery, or medication) Currently receiving anticoagulation with therapeutic doses of warfarin (low-dose warfarin ≤ 1mg/day is permitted). Primary brain tumor or brain metastasis are considered eligible if the patient has not received radiation therapy for brain metastasis within 2 weeks of enrollment and has been on a stable dose of steroids for 2 or more weeks. Uncontrolled intercurrent illness including, but not limited to, ongoing or active infection (including cytomegalovirus, Epstein-Barr virus, toxoplasmosis, and hepatitis B and C), symptomatic congestive heart failure, unstable angina pectoris, or cardiac arrhythmia. Known to be positive for the human immunodeficiency virus (HIV) Psychiatric illness/social situation(s) that would limit compliance with study requirements. Allergy or hypersensitivity to components of the SAR245408 formulation. Withdraws consent during the screening (starting from signed informed consent form (ICF)) Patient who is judged by the investigator as not suitable for participating in the study  The above information is not intended to contain all considerations relevant to a patient's potential participation in a clinical trial.	1
188	The (World Health Organization) WHO NOR- (Coronavirus infectious disease) COVID 19 study is a multi-centre, adaptive, randomized, open clinical trial to evaluate the safety and efficacy of hydroxychloroquine, remdesivir and standard of care in hospitalized adult patients diagnosed with COVID-19. This trial will follow the core WHO protocol but has additional efficacy, safety and explorative endpoints.	0
189	Primary Objective:  To assess tolerability and safety of SAR439794 [peanut extract (PE) sublingual immunotherapy (SLIT) adjuvanted with Glucopyranosyl Lipid A (GLA)] after repeated sublingual (SL) daily administration in peanut allergic adult and adolescent patients.  Secondary Objective:  To assess pharmacodynamics of SAR439794 after repeated SL daily administration in peanut allergic adult and adolescent patients.	0
1422	Inclusion criteria :  Children 6 to <12 years of age, with a physician diagnosis of persistent asthma for ≥12 months prior to Screening, based on clinical history and examination, pulmonary function parameters according to Global initiative for asthma (GINA) 2015 Guidelines and the following criteria:  Existing background therapy of medium-dose inhaled corticosteroids (ICS) with second controller medication (ie, long-acting β2 agonist [LABA], leukotriene receptor antagonist [LTRA], long acting muscarinic antagonist [LAMA], or methylxanthines) or high-dose ICS alone or high-dose ICS with second controller, for at least 3 months with a stable dose ≥1 month prior to Screening Visit 1. Pre-bronchodilator forced expiratory volume in 1 second (FEV1) ≤95% of predicted normal or pre bronchodilator FEV1/forced vital capacity (FVC) ratio <0.85 at Screening and Baseline Visits. Reversibility of at least 10% in FEV1 after the administration of 200 to 400 mcg (2 to 4 puff inhalations with metered-dose inhaler [MDI]) of albuterol/salbutamol or 45 to 90 mcg (2 to 4 puffs with MDI) of levalbuterol/levosalbutamol reliever medication before randomization (up to 3 opportunities during the same visit are allowed with a maximum of 12 puffs of reliever medication if tolerated by the patient).  Must have experienced, within 1 year prior to Screening Visit 1, any of the following events:  Treatment with a systemic corticosteroid (SCS, oral or parenteral), as prescribed by a healthcare professional for worsening asthma at least once or, Hospitalization or emergency room visit for worsening asthma.  Evidence of uncontrolled asthma, with at least one of the following criteria during the 4 (±1) weeks Screening Period:  Asthma Control Questionnaire-Interviewer Administered (ACQ-IA) ACQ-5 score ≥1.5 on at least one day of the Screening Period. Use of reliever medication (ie, albuterol/salbutamol or levalbuterol/levosalbutamol), other than as a preventive for exercise induced bronchospasm, on 3 or more days per week, in at least one week during the Screening Period. Sleep awakening due to asthma symptoms requiring use of reliever medication at least once during the Screening Period. Asthma symptoms 3 or more days per week in at least one week during the Screening Period.  Exclusion criteria:  Patients <6 or ≥12 years of age. Patients with <16 kg bodyweight. Any other chronic lung disease (cystic fibrosis, bronchopulmonary dysplasia, etc.), which may impair lung function. A subject with any history of life threatening asthma (ie, extreme exacerbation that requires intubation). Co-morbid disease that might interfere with the evaluation of investigational medicinal product (IMP).  The above information is not intended to contain all considerations relevant to a patient's potential participation in a clinical trial.	1
1227	Inclusion Criteria:  Registration as patient in the ED during study screening hours; Endorsement of three or more opioid dependence criteria on the DSM-IV checklist Age 18 years or older; Adequate English proficiency; Ability to provide informed consent; Self-report use of opioids in the last 30 days  Exclusion Criteria:  Inability to participate due to emergency treatment; Significant impairment of cognition or judgment rendering the person incapable of informed consent. (e.g., traumatic brain injury, delirium, intoxication); Status as a prisoner or in police custody at the time of treatment; Current engagement in substance use disorder treatment; Residence more than 50 miles from the location of follow-up visits; Inability to provide sufficient contact information (must provide at least 2 reliable locators); Unavailable for follow-up (e.g., planning to relocate within 6 months) Prior participation in the current study. Current participation in a research study related to substance use.	1
478	Background 25,000 infants are born extremely preterm every year in Europe. This group of infants carries a high risk of death and subsequent cerebral impairment for the infant, especially in the first 72 hours of life. Mortality is about 20%, and about 25% of survivors live with either cerebral palsy or low intelligence quotient. Preventative measures are keys to reducing mortality and morbidity in this population. There is evidence that the cerebral oxygenation time spent out of range (time with hypoxia or hyperoxia) is associated with poor outcome in infants. Near-infrared spectroscopy (NIRS) has been used to monitor tissue oxygenation since the mid-1980s, and quantification of oxygenation (rStO2) in a percentage from 0 to 100% has been possible for 10 years. From almost 400 preterm infants normal ranges of rStO2 has been determined to be from 55% to 85%. Still, there are no clinical trials and thus no solid evidence of the clinical utility of NIRS in preterm infants. Thus, research on the benefits and harms of cerebral monitoring using NIRS as a part of clinical management of premature infants is much needed.  Objectives The primary objective of the SafeBoosC trial is to examine if it is possible to stabilise the cerebral oxygenation of extremely preterm infants during the first 72 hours of life through the application of cerebral NIRS oximetry and implementation of an rStO2-specific clinical treatment guideline. We hypothesise that by using the specified treatment guideline to respond to cerebral monitoring readings outside the target range, we would reduce the burden of hypo- and hyperoxia and consequently reduce brain injury.  Trial design This is an investigator-initiated randomised, blinded, multinational, phase II feasibility clinical trial involving preterm infants from 12 European countries.  Inclusion criteria The inclusion criteria are: neonates born more than 12 weeks preterm (gestational age up to 27 weeks and 6 days); decision to conduct full life support; parental informed consent; and cerebral NIRS oximeter placed within 3 hours after birth.  Sample size With a 50% reduction of the area outside the normal range of oxygenation in %hours in the experimental group compared to the control group as the minimal clinically significant difference, a standard deviation of the area outside the normal range of 83.2 %hours, a type I error (alpha) of 5%, and a type II error of 0.05 (power of 95%) inclusion of 75 preterm infants in the experimental group and 75 preterm infants in the control group is required. The inclusion of twins are likely to decrease power, so it has been decided to increase sample size to 165 on a pragmatic basis of estimating intracluster correlation, control event rate, and incidence of twin births.  Intervention The premature infants will be randomised into one of two groups (experimental or control). Common is that both groups will have a cerebral oximeter monitoring device placed within three hours after birth. In the experimental group, the cerebral oxygenation reading is visible, and the infant will be treated accordingly using a defined treatment guideline. In the control group, the cerebral oxygenation reading is NOT visible, and the infant will be treated as usual.  Trial duration Monitoring by cerebral oximeter will be started as soon as possible and within 3 hours after birth and the intervention will last for 72 hours. Thereafter, each neonate will be followed up at term date (approximately three months after birth) and at 24 months after term date.  Outcome measures The primary outcome is the burden of hypo- and hyperoxia in %hours during the first 72 hours after birth. The secondary outcomes are brain activity on an amplitude-integrated electroencephalogram (aEEG), blood biomarkers (brain fatty acid binding protein (BFABP), neuroketal, and S100β), serious adverse reactions (SARs), severe brain injury, and all cause mortality at term date (approximately three months after birth). The exploratory outcomes are burden of hypoxia, burden of hyperoxia, neonatal morbidities, brain injury score on magnetic resonance imaging (MRI), number of therapies implemented during the intervention, physiological variables (mean blood pressure (BP), pulse oximeter oxygen saturation (SpO2), and partial pressure of carbon dioxide (pCO2)), and psychomotor impairment according to neurodevelopmental scales at 24 months after term date.	0
242	Outbreak of 2019 Novel Coronavirus infection started in Wuhan and quickly spread to the world. Suspected patients were isolated and treated in our department. Clinical data was recorded to investigate the clinical features of patients confirmed and excluded diagnosed of 2019 Novel Coronavirus infection.	0
1330	Inclusion criteria:  Female ≥18 and ≤65 years old. Patients with histologically or cytologically confirmed Metastatic Breast Cancer (HER2 negative, ER/PR positive or negative), who are candidates to receive capecitabine and cyclophosphamide as per Investigator's judgment, and meet either one of the following characteristics: Recurrence of the disease following at least 2 lines of chemotherapy failure for metastatic triple negative breast cancer. In ER/PR positive breast cancer, recurrence of the disease following at least 1 line of chemotherapy failure and 2 lines of hormonal therapy failure. Patients who have been previously treated with capecitabine can be recruited in the study provided: As per the Investigator's opinion, patients will benefit from this chemotherapy AND For prior single administration of capecitabine: at least 6 months has elapsed between last capecitabine treatment and initiation of study treatment. For prior capecitabine-based combination regimen: at least 12 months has elapsed between last capecitabine-based treatment and initiation of study treatment. At least one unidimensionally measurable lesion according to RECIST criteria version 1.1. An Eastern Cooperative Oncology Group (ECOG) performance status (PS) 0, 1, or 2. Life expectancy of >3 months. Patients who are willing to undergo (oral) chemotherapy for the treatment of their disease and who are expected to comply with the treatment and study procedures, as per the Investigator's judgment. For women of child bearing potential, documented negative pregnancy test and agreement to use acceptable birth control measures during the duration of the study. Signed Informed consent obtained prior to any study related procedures.  Exclusion criteria:  Patients who are HER 2 positive. Patients with 3 or more lines of chemotherapy failure for metastatic triple negative breast cancer. In ER/PR positive breast cancer, recurrence of the disease following 2 or more lines of chemotherapy failure and/or 3 or more lines of hormonal therapy failure. Patients presenting with de novo stage IV metastatic breast cancer, not previously treated for their disease. Patients who have already received any metronomic chemotherapy regimen. Known hypersensitivity to capecitabine or to any of its components. Known hypersensitivity to 5-fluorouracil. Known hypersensitivity to cyclophosphamide or any of its components. History of bladder carcinoma. Systemic anticancer therapy (chemotherapy, hormone therapy, or radiotherapy) within 4 weeks of randomization for the study. History of unexplained hematuria. History of dihydropyrimidine dehydrogenase (DPD) deficiency. Severe renal impairment (creatinine clearance below 30 mL/min [Cockroft and Gault]). Concomitant warfarin treatment. History of significant cardiac disease (eg, unstable angina, congestive heart failure, myocardial infarction, ventricular arrhythmias) within the previous 6 months. Conditions/situations such as: Patient is the Investigator or any Sub-Investigator, research assistant, pharmacist, Study coordinator, other staff, or relative thereof, directly involved in the conduct of the protocol. Uncooperative Patient or any condition that could make the Patient potentially noncompliant to the study procedures. Pregnant or breast-feeding women. Women of childbearing potential not protected by effective contraceptive method of birth control and/or who are unwilling or unable to be tested for pregnancy. Patients with a possibility of active tuberculosis as suggested by: Any signs or symptoms suggestive of active tuberculosis upon medical history or clinical examination. Chest radiograph within 3 months prior to the screening visit consistent with tuberculosis infection. Patients with close contact with a person with active tuberculosis. Known history of Human Immunodeficiency Virus (HIV). Any other significant medical conditions which in the judgment of the Investigator would preclude completion of the study. Participation in a clinical research study evaluating another investigational drug or therapy within 30 days prior to the Screening Visit. Presence of any of the following laboratory abnormalities at the Screening Visit: Hemoglobin <8.5 g/L; White blood cell (WBC) <3000/μL; Platelet count <100 000/μL; Absolute neutrophil count (ANC) <1500/μL; Aspartate aminotransferase (AST) or alanine aminotransferase (ALT) >1.5 x upper limit of normal (ULN) (or > 5 x ULN in patients with liver metastasis); Total Bilirubin >1.5 X ULN (or > 2 x ULN in patients with liver metastasis). Patients with a body surface area (BSA) <1.0 m² or 1.8 m².  The above information is not intended to contain all considerations relevant to a patient's potential participation in a clinical trial.	1
768	The total study duration for one patient is approximately 6.7 to 22.7 weeks (minimum to maximum duration, excluding screening). The duration of the study includes a screening period of 3 to 28 days (D -28 to D -3), 6 treatment periods of 1 or 2 days each (1 overnight stay), a washout period of 7 to 28 days (preferentially 7 days between consecutive dosing), and an end-of-study visit of 7 to 14 days after the last study drug administration.	0
1367	Inclusion Criteria:  Previously confirmed histological diagnosis of locally advanced or metastatic papillary or follicular thyroid carcinoma, without anaplastic component. Tumor sample available for centralized exploratory analysis. Presence of one or more measurable lesions at least 1 cm in the longest diameter by spiral CT scan or 2 cm with conventional techniques. Progressive disease following RAI131 or patient unsuitable for RAI131 after surgery. Serum TSH<0.5mU/L.  Exclusion Criteria:  Major surgery within 4 weeks before randomization. Prior chemotherapy within the last 4 weeks prior to randomization. RAI131 therapy within 3 months in patients with radioiodine uptake. Radiation therapy within the last 4 weeks prior to randomization (with the exception of palliative radiotherapy). Serum bilirubin >1.5 x the upper limit of reference range (ULRR). Creatinine clearance < 30 ml/min (calculated by Cockcroft-Gault formula). Alanine aminotransferase (ALT), aspartate aminotransferase (AST), or alkaline phosphatase (ALP) greater than 2.5 × ULRR, or greater than 5.0 × ULRR if judged by the investigator to be related to liver metastases. Clinically significant cardiovascular event (eg myocardial infarction), superior vena cava [SVC] syndrome, New York Heart Association [NYHA] classification of heart failure >II within 3 months before entry, or presence of cardiac disease that in the opinion of the Investigator increases the risk of ventricular arrhythmia. History of arrhythmia (multifocal premature ventricular contractions [PVCs], bigeminy, trigeminy, ventricular tachycardia or uncontrolled atrial fibrillation), which is symptomatic or requires treatment (CTCAE grade 3), , or asymptomatic sustained ventricular tachycardia. Subjects with atrial fibrillation controlled by medication are permitted. Congenital long QT syndrome or 1st degree relative with unexplained sudden death under 40 years of age.	1
